CAQUETA;CARTAGENA DEL CHAIRA;CONCEJO;53,34%;50,70%;DISMINUYÓ;10;13;AUMENTÓ
CAQUETA;CURILLO;CONCEJO;51,73%;55,72%;AUMENTÓ;10;10;SE MANTUVO
CAQUETA;EL DONCELLO;CONCEJO;52,57%;55,96%;AUMENTÓ;8;11;AUMENTÓ
CAQUETA;EL PAUJIL;CONCEJO;55,83%;56,80%;AUMENTÓ;8;9;AUMENTÓ
CAQUETA;LA MONTAÑITA;CONCEJO;59,59%;61,42%;AUMENTÓ;8;10;AUMENTÓ
CAQUETA;MILAN;CONCEJO;59,44%;62,34%;AUMENTÓ;9;8;DISMINUYÓ
CAQUETA;MORELIA;CONCEJO;69,00%;63,54%;DISMINUYÓ;9;7;DISMINUYÓ
CAQUETA;PUERTO RICO;CONCEJO;52,71%;54,16%;AUMENTÓ;9;10;AUMENTÓ
CAQUETA;SAN JOSE DEL FRAGUA;CONCEJO;66,21%;65,43%;DISMINUYÓ;9;8;DISMINUYÓ
CAQUETA;SAN VICENTE DEL CAGUAN;CONCEJO;51,90%;51,17%;DISMINUYÓ;11;10;DISMINUYÓ
CAQUETA;SOLANO;CONCEJO;51,07%;51,65%;AUMENTÓ;8;9;AUMENTÓ
CAQUETA;SOLITA;CONCEJO;55,91%;56,75%;AUMENTÓ;8;9;AUMENTÓ
CAQUETA;VALPARAISO;CONCEJO;58,25%;61,88%;AUMENTÓ;10;8;DISMINUYÓ
CAUCA;ARGELIA;CONCEJO;71,56%;59,73%;DISMINUYÓ;6;7;AUMENTÓ
CAUCA;BALBOA;CONCEJO;63,74%;65,10%;AUMENTÓ;7;5;DISMINUYÓ
CAUCA;BUENOS AIRES;CONCEJO;61,35%;62,06%;AUMENTÓ;6;5;DISMINUYÓ
CAUCA;CAJIBIO;CONCEJO;60,38%;60,10%;DISMINUYÓ;6;8;AUMENTÓ
CAUCA;CALDONO;CONCEJO;62,55%;61,39%;DISMINUYÓ;8;10;AUMENTÓ
CAUCA;CALOTO;CONCEJO;65,72%;65,95%;AUMENTÓ;8;10;AUMENTÓ
CAUCA;CORINTO;CONCEJO;69,54%;61,82%;DISMINUYÓ;7;9;AUMENTÓ
CAUCA;EL TAMBO;CONCEJO;57,31%;51,96%;DISMINUYÓ;8;10;AUMENTÓ
CAUCA;JAMBALO;CONCEJO;67,45%;67,17%;DISMINUYÓ;4;2;DISMINUYÓ
CAUCA;MERCADERES;CONCEJO;62,87%;61,06%;DISMINUYÓ;5;6;AUMENTÓ
CAUCA;MIRANDA;CONCEJO;71,49%;66,00%;DISMINUYÓ;12;12;SE MANTUVO
CAUCA;MORALES;CONCEJO;66,37%;64,30%;DISMINUYÓ;5;9;AUMENTÓ
CAUCA;PATIA (EL BORDO);CONCEJO;54,24%;53,32%;DISMINUYÓ;7;9;AUMENTÓ
CAUCA;PIENDAMO;CONCEJO;60,59%;58,20%;DISMINUYÓ;11;10;DISMINUYÓ
CAUCA;SANTANDER DE QUILICHAO;CONCEJO;60,48%;58,18%;DISMINUYÓ;11;12;AUMENTÓ
CAUCA;SUAREZ;CONCEJO;51,52%;60,15%;AUMENTÓ;7;8;AUMENTÓ
CAUCA;TORIBIO;CONCEJO;63,71%;60,05%;DISMINUYÓ;4;5;AUMENTÓ
CAUCA;GUAPI;CONCEJO;59,57%;56,59%;DISMINUYÓ;10;9;DISMINUYÓ
CAUCA;LOPEZ (MICAY);CONCEJO;63,51%;61,56%;DISMINUYÓ;6;5;DISMINUYÓ
CAUCA;TIMBIQUI;CONCEJO;68,33%;55,39%;DISMINUYÓ;7;6;DISMINUYÓ
CESAR;VALLEDUPAR;CONCEJO;58,47%;60,84%;AUMENTÓ;16;19;AUMENTÓ
CESAR;AGUSTIN CODAZZI;CONCEJO;66,98%;62,23%;DISMINUYÓ;13;18;AUMENTÓ
CESAR;BECERRIL;CONCEJO;69,04%;71,18%;AUMENTÓ;11;15;AUMENTÓ
CESAR;LA JAGUA DE IBIRICO;CONCEJO;78,62%;67,06%;DISMINUYÓ;11;14;AUMENTÓ
CESAR;MANAURE BALCON DEL CESAR (MANA;CONCEJO;77,83%;76,37%;DISMINUYÓ;6;8;AUMENTÓ
CESAR;PUEBLO BELLO;CONCEJO;63,25%;61,11%;DISMINUYÓ;9;10;AUMENTÓ
CESAR;LA PAZ;CONCEJO;67,16%;66,68%;DISMINUYÓ;8;11;AUMENTÓ
CESAR;SAN DIEGO;CONCEJO;70,24%;68,29%;DISMINUYÓ;7;9;AUMENTÓ
CHOCO;ACANDI;CONCEJO;63,57%;61,69%;DISMINUYÓ;7;7;SE MANTUVO
CHOCO;BOJAYA (BELLAVISTA);CONCEJO;64,57%;62,45%;DISMINUYÓ;6;6;SE MANTUVO
CHOCO;CARMEN DEL DARIEN;CONCEJO;64,75%;54,73%;DISMINUYÓ;9;7;DISMINUYÓ
CHOCO;CONDOTO;CONCEJO;63,37%;55,69%;DISMINUYÓ;7;9;AUMENTÓ
CHOCO;EL LITORAL DEL SAN JUAN;CONCEJO;65,17%;49,26%;DISMINUYÓ;5;8;AUMENTÓ
CHOCO;ISTMINA;CONCEJO;60,09%;55,50%;DISMINUYÓ;8;9;AUMENTÓ
